Neighborhood,Id,Estimate contract housing; Total:,Margin of Error contract housing; Total:,Estimate; With cash rent:,Estimate; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 to $2,499","Estimate; With cash rent: - $2,500 to $2,999","Estimate; With cash rent: - $3,000 to $3,499","Estimate; With cash rent: - $3,500 or more",Estimate; No cash rent,Low rent,Mid rent,High rent,Total rent,No cash rent
Allegheny Center,1,798,91,781,23,6,77,10,15,2,0,0,6,17,72,41,98,34,35,52,132,129,16,16,0,0,0,0,17,133,355,293,781,17
Allegheny West,2,77,31,77,0,0,0,0,0,3,0,0,10,6,8,8,7,0,5,4,5,10,6,5,0,0,0,0,0,3,48,26,77,0
Allentown,3,531,138.1665661,481,0,0,18,16,16,57,63,47,23,51,32,49,30,41,0,9,0,29,0,0,0,0,0,0,50,217,235,29,481,50
Arlington,4,209,70.56202945,204,0,0,0,0,0,4,0,10,4,6,21,52,13,15,61,0,13,0,5,0,0,0,0,0,5,14,172,18,204,5
Arlington Heights,5,144,59,140,0,6,23,12,42,0,15,0,5,9,0,0,28,0,0,0,0,0,0,0,0,0,0,0,4,98,42,0,140,4
Banksville,6,961,190.0894526,961,0,0,0,0,42,0,0,0,0,0,0,70,96,181,143,251,146,32,0,0,0,0,0,0,0,42,741,178,961,0
Bedford Dwellings,7,675,56,668,216,20,37,94,3,8,22,30,73,29,59,13,24,12,24,4,0,0,0,0,0,0,0,0,7,430,238,0,668,7
Beechview,8,1502,236.0211855,1464,0,0,0,64,19,56,79,164,76,156,170,237,175,59,47,76,76,10,0,0,0,0,0,0,38,382,996,86,1464,38
Beltzhoover,9,292,111.7720895,287,0,10,0,24,0,9,9,0,72,54,36,32,0,0,0,0,0,0,41,0,0,0,0,0,5,52,194,41,287,5
Bloomfield,10,2883,201.7324961,2825,0,6,7,24,28,41,85,109,85,153,197,354,292,236,218,354,146,278,69,126,17,0,0,0,58,300,1889,636,2825,58
Bluff,11,161,46.26013402,161,0,0,0,0,0,4,22,27,0,5,0,0,5,5,0,31,2,11,37,12,0,0,0,0,0,53,46,62,161,0
Bon Air,12,67,64,67,14,0,0,0,0,0,0,0,36,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,14,41,12,67,0
Brighton Heights,13,1016,167.3648709,1006,0,10,22,42,39,62,0,87,53,188,94,115,61,55,48,9,18,71,25,0,0,0,7,0,10,262,623,121,1006,10
